1 Anhui
>合肥市 Hefei
>黄山市 Huangshan
>淮南市 Huainan
>宿州市 Suzhou
>芜湖市 Wuhu
>阜阳市 Fuyang
>安庆市 Anqing
>铜陵市 Tongling
>蚌埠市 Bengbu
>宣城市 Xuancheng
>马鞍山市 Ma'anshan
>池州市 Chizhou
>巢湖市 Chaohu
>六安市 Lu'an
>亳州市 Bozhou
>滁州市 Chuzhou
>淮北市 Huaibei
2 Beijing
>北京 Beijing
3 Chongqing
>重庆 Chongqing
4 Fujian
>莆田市 Putian
>厦门市 Xiamen
>龙岩市 Longyan
>福州市 Fuzhou
>宁德市 Ningde
>泉州市 Quanzhou
>南平市 Nanping
>三明市 Sanming
>漳州市 Zhangzhou
5 Gansu
>临夏回族自治州 Linxia Hui
>酒泉市 Jiuquan
>天水市 Tianshui
>张掖市 Zhangye
>庆阳市 Qingyang
>平凉市 Pingliang
>金昌市 Jinchang
>白银市 Baiyin
>武威市 Wuwei
>嘉峪关市 Jiayuguan
>陇南市 Longnan
>甘南藏族自治州 Gannan Tibetan
>定西市 Dingxi
>兰州市 Lanzhou
6 Guangdong
>揭阳市 Jieyang
>潮州市 Chaozhou
>清远市 Qingyuan
>阳江市 Yangjiang
>河源市 Heyuan
>珠海市 Zhuhai
>汕尾市 Shanwei
>江门市 Jiangmen
>云浮市 Yunfu
>湛江市 Zhanjiang
>广州市 Guangzhou
>东莞市 Dongguan
>佛山市 Foshan
>梅州市 Meizhou
>韶关市 Shaoguan
>中山市 Zhongshan
>茂名市 Maoming
>惠州市 Huizhou
>汕头市 Shantou
>深圳市 Shenzhen
>肇庆市 Zhaoqing
7 Guangxi
>钦州市 Qinzhou
>玉林市 Yulin
>贵港市 Guigang
>贺州市 Hezhou
>河池市 Hechi
>柳州市 Liuzhou
>崇左市 Chongzuo
>防城港市 Fangchenggang
>百色市 Baise
>梧州市 Wuzhou
>南宁市 Nanning
>北海市 Beihai
>来宾市 Laibin
>桂林市 Guilin
8 Guizhou
>六盘水市 Liupanshui
>铜仁地区 Tongren
>毕节地区 Bijie
>遵义市 Zunyi
>安顺市 Anshun
>贵阳市 Guiyang
>黔西南布依族苗族自治州 Qianxinan Buyei and Miao
>黔东南苗族侗族自治州 Qiandongnan Miao and Dong
>黔南布依族苗族自治州 Qiannan Buyei and Miao
9 Hainan
>海口市 Haikou
>海南 Hainan
>三亚市 Sanya
10 Hebei
>石家庄市 Shijiazhuang
>邯郸市 Handan
>沧州市 Cangzhou
>秦皇岛市 Qinhuangdao
>张家口市 Zhangjiakou
>邢台市 Xingtai
>衡水市 Hengshui
>保定市 Baoding
>廊坊市 Langfang
>唐山市 Tangshan
>承德市 Chengde
11 Heilongjiang
>绥化市 Suihua
>双鸭山市 Shuangyashan
>鹤岗市 Hegang
>佳木斯市 Jiamusi
>哈尔滨市 Harbin
>齐齐哈尔市 Qiqihar
>伊春市 Yichun
>大兴安岭地区 Daxing'anling
>黑河市 Heihe
>大庆市 Daqing
>七台河市 Qitaihe
>鸡西市 Jixi
>牡丹江市 Mudanjiang
12 Henan
>新乡市 Xinxiang
>濮阳市 Puyang
>漯河市 Luohe
>开封市 Kaifeng
>周口市 Zhoukou
>鹤壁市 Hebi
>商丘市 Shangqiu
>郑州市 Zhengzhou
>信阳市 Xinyang
>三门峡市 Sanmenxia
>驻马店市 Zhumadian
>平顶山市 Pingdingshan
>安阳市 Anyang
>焦作市 Jiaozuo
>济源市 Jiyuan shi
>许昌市 Xuchang
>南阳市 Nanyang
>洛阳市 Luoyang
13 Hubei
>咸宁市 Xianning
>神农架林区 Shennongjia
>恩施土家族苗族自治州 Enshi Tujia and Miao
>潜江市 Qianjiang
>武汉市 Wuhan
>宜昌市 Yichang
>荆州市 Jingzhou
>荆门市 Jingmen
>襄樊市 Xiangfan
>孝感市 Xiaogan
>鄂州市 Ezhou
>天门市 Tianmen
>黄冈市 Huanggang
>十堰市 Shiyan
>随州市 Suizhou Shi
>仙桃市 Xiantao
>黄石市 Huangshi
14 Hunan
>長沙市 Changsha
>湘潭市 Xiangtan
>岳陽市 Yueyang
>張家界市 Zhangjiajie
>湘西土家族苗族自治州 Xiangxi Tujia and Miao
>常德市 Changde
>婁底市 Loudi
>衡陽市 Hengyang
>永州市 Yongzhou
>株洲市 Zhuzhou
>邵陽市 Shaoyang
>益陽市 Yiyang
>郴州市 Chenzhou
>懷化市 Huaihua
15 Jiangsu
>泰州市 Taizhou
>淮安市 Huai'an
>南京市 Nanjing
>南通市 Nantong
>扬州市 Yangzhou
>徐州市 Xuzhou
>无锡市 Wuxi
>常州市 Changzhou
>镇江市 Zhenjiang
>盐城市 Yancheng
>连云港市 Lianyungang
>宿迁市 Suqian
>苏州市 Suzhou
16 Jiangxi
>南昌市 Nanchang
