1 Anhui
>淮南市 Huainan
>>凤台县 Fengtai
>>Huainan Huainan

>阜阳市 Fuyang
>>阜南县 Funan
>>阜阳市 Fuyang
>>界首市 Jieshou
>>临泉县 Linquan
>>太和县 Taihe
>>瑶海区 Yaohai

>池州市 Chizhou
>>东至县 Dongzhi
>>贵池区 Guichi
>>青阳县 Qingyang
>>石台县 Shitai

>淮北市 Huaibei
>>Huaibei Huaibei
>>濉溪县 Suixi

>马鞍山市 Ma'anshan
>>当涂县 Dangtu
>>Maanshan Maanshan

>六安市 Lu'an
>>霍邱县 Huoqiu
>>霍山县 Huoshan
>>金寨县 Jinzhai
>>Lu An Lu An
>>寿县 Shou
>>舒城县 Shucheng

>黄山市 Huangshan
>>祁门县 Qimen
>>歙县 She
>>Taiping Taiping
>>屯溪区 Tunxi
>>休宁县 Xiuning
>>黟县 Yi

>蚌埠市 Bengbu
>>Bengbu Bengbu
>>固镇县 Guzhen
>>怀远县 Huaiyuan
>>五河县 Wuhe

>芜湖市 Wuhu
>>繁昌县 Fanchang
>>南陵县 Nanling
>>Wuhu Wuhu

>巢湖市 Chaohu
>>Chao Chao
>>含山县 Hanshan
>>和县 He
>>庐江县 Lujiang
>>无为县 Wuwei

>铜陵市 Tongling
>>铜陵县 Tongling

>安庆市 Anqing
>>Anqing Anqing
>>怀宁县 Huaining
>>潜山县 Qianshan
>>宿松县 Susong
>>太湖县 Taihu
>>桐城市 Tongcheng
>>望江县 Wangjiang
>>岳西县 Yuexi
>>枞阳县 Zongyang

>宣城市 Xuancheng
>>广德县 Guangde
>>旌德县 Jingde
>>泾县 Jing
>>绩溪县 Jixi
>>郎溪县 Langxi
>>宁国市 Ningguo
>>宣州区 Xuanzhou

>宿州市 Suzhou
>>砀山区 Dangshan
>>灵璧县 Lingbi
>>泗县 Si
>>萧县 Xiao
>>埇桥区 Yongqiao

>滁州市 Chuzhou
>>Chuxian Chuxian
>>定远县 Dingyuan
>>凤阳县 Fengyang
>>Jiashan Jiashan
>>来安县 Lai'an
>>全椒县 Quanjiao
>>天长市 Tianchang

>合肥市 Hefei
>>长丰县 Changfeng
>>肥东县 Feidong
>>肥西县 Feixi
>>Hefei Hefei

>亳州市 Bozhou
>>Boxian Boxian
>>Guoyang Guoyang
>>利辛县 Lixin
>>蒙城县 Mengcheng


2 Beijing
>北京 Beijing
>>北京|北京 Beijing
>>昌平区 Changping
>>大兴区 Daxing
>>房山区 Fangshan
>>怀柔区 Huairou
>>门头沟区 Mentougou
>>密云县 Miyun
>>平谷区 Pinggu
>>顺义区 Shunyi
>>通州区 Tongzhou
>>延庆县 Yanqing


3 Chongqing
>重庆 Chongqing
>>Ba Ba
>>Bishan Bishan
>>Changshou Changshou
>>Chengkou Chengkou
>>Chongqing Chongqing
>>Dazu Dazu
>>Dianjiang Dianjiang
>>Fengdu Fengdu
>>Fengjie Fengjie
>>Fuling Fuling
>>Hechuan Hechuan
>>Jiangbei Jiangbei
>>Jiangjin Jiangjin
>>Kai Kai
>>Liangping Liangping
>>Nanchuan Nanchuan
>>Pengshui Pengshui
>>Qianjiang Qianjiang
>>Qijiang Qijiang
>>Rongchang Rongchang
>>Shizhu Shizhu
>>Tongliang Tongliang
>>Tongnan Tongnan
>>Wan Wan
>>Wulong Wulong
>>Wushan Wushan
>>Wuxi Wuxi
>>Xiushan Xiushan
>>Yongchuan Yongchuan
>>Youyang Youyang
>>Yunyang Yunyang
>>Zhong Zhong


4 Fujian
>龙岩市 Longyan
>>长汀县 Changting
>>连城县 Liancheng
>>洛江区 Luojiang
>>上杭县 Shanghang
>>武平县 Wuping
>>永定县 Yongding
>>漳平市 Zhangping

>南平市 Nanping
>>Chongan Chongan
>>光泽县 Guangze
>>建瓯市 Jian'ou
>>建阳市 Jianyang
>>Nanping Nanping
>>浦城县 Pucheng
>>邵武市 Shaowu
>>顺昌县 Shunchang
>>松溪县 Songxi
>>政和县 Zhenghe

>厦门市 Xiamen
>>同安区 Tong'an
>>Xiamen Xiamen

>莆田市 Putian
>>莆田市 Putian County
>>莆田市 Putian
>>仙游县 Xianyou

>宁德市 Ningde
>>福安市 Fu'an
>>福鼎市 Fuding
>>古田县 Gutian
>>蕉城区 Jiaocheng
>>屏南县 Pingnan
>>寿宁县 Shouning
>>霞浦县 Xiapu
